,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
60,Columbia,29,7,22,.241,-14.65,-2.65,,2,12,,6,9,,1,13,,1966,2197,,70.6,106.4,.278,.354,.541,53.4,54.6,9.4,12.2,.516,15.7,32.9,.195
61,Connecticut,31,24,7,.774,20.88,7.45,,13,7,,15,2,,6,5,,2450,2017,,69.0,94.3,.392,.288,.503,43.4,40.8,9.8,8.6,.453,17.2,26.2,.289
62,Coppin State,32,9,23,.281,-14.60,-3.44,,4,10,,4,6,,5,16,,2304,2661,,73.1,112.0,.342,.414,.564,57.7,58.5,10.1,9.9,.532,15.7,35.7,.247
63,Cornell,27,17,10,.630,0.39,-2.65,,7,7,,11,2,,6,8,,2227,2049,,72.6,104.1,.296,.399,.566,49.9,58.4,8.9,9.4,.540,19.3,28.8,.210
64,Creighton,33,21,12,.636,17.69,9.54,,14,6,,13,2,,5,6,,2529,2260,,69.4,97.9,.198,.298,.498,47.3,47.1,8.8,8.3,.473,12.7,23.3,.144
65,Dartmouth,28,10,18,.357,-8.14,-2.68,,6,8,,7,5,,3,11,,1998,2027,,70.8,100.9,.299,.348,.532,50.4,44.0,11.7,9.1,.499,15.4,25.5,.217
66,Davidson,32,16,16,.500,2.21,1.69,,8,10,,7,8,,6,6,,2236,2197,,66.1,102.6,.264,.368,.530,51.3,48.8,8.9,11.0,.503,15.2,27.9,.186
67,Dayton,32,21,11,.656,9.28,1.06,,12,6,,14,2,,5,6,,2200,1939,,63.9,94.1,.236,.385,.475,46.2,47.7,9.1,7.0,.445,14.2,26.7,.167
68,Delaware,33,17,16,.515,-5.60,-3.75,,8,10,,10,5,,4,10,,2298,2333,,67.4,104.2,.290,.346,.543,52.4,53.4,9.1,9.2,.513,16.4,29.6,.209
69,Delaware State,30,6,24,.200,-17.71,-4.96,,4,11,,4,8,,2,14,,1939,2265,,69.6,107.6,.381,.423,.578,49.8,61.8,11.2,8.9,.550,17.8,28.3,.264
70,Denver,32,15,17,.469,-9.08,-5.42,,6,12,,9,5,,4,11,,2325,2402,,69.1,107.0,.270,.403,.546,46.9,51.4,9.6,9.2,.514,14.0,27.2,.204
71,DePaul,33,10,23,.303,2.96,9.08,,3,17,,7,8,,2,12,,2349,2551,,69.8,109.0,.357,.347,.550,54.3,51.9,10.2,9.0,.516,15.2,34.1,.254
72,Detroit Mercy,33,14,19,.424,-3.01,-3.41,,9,11,,9,5,,5,13,,2527,2486,,67.8,110.2,.290,.392,.566,47.5,52.2,9.5,7.9,.534,14.9,29.4,.219
73,Drake,34,27,7,.794,8.34,-1.12,,15,5,,14,1,,6,6,,2561,2173,,67.0,93.4,.263,.381,.497,47.6,43.8,7.6,6.3,.467,15.8,22.3,.184
74,Drexel,32,17,15,.531,-2.27,-5.43,,10,8,,12,3,,3,9,,2135,1997,,64.0,95.6,.240,.284,.500,48.4,47.2,8.9,8.0,.472,16.1,26.9,.169
75,Duke,33,25,8,.758,15.61,7.03,,14,6,,16,0,,4,6,,2407,2125,,65.8,97.4,.238,.351,.500,44.1,47.7,9.3,9.6,.465,14.5,26.0,.182
76,Duquesne,32,20,12,.625,4.08,0.14,,10,8,,16,4,,3,7,,2394,2268,,69.4,102.2,.351,.339,.534,50.4,52.9,8.3,8.3,.502,17.9,33.2,.243
77,East Carolina,32,16,16,.500,0.06,1.76,,6,12,,10,6,,2,9,,2225,2267,,68.5,103.4,.327,.343,.531,48.5,49.3,9.4,10.1,.497,15.2,29.3,.233
78,East Tennessee State,32,12,20,.375,-5.87,-4.31,,8,10,,7,9,,4,9,,2211,2208,,66.7,103.0,.265,.428,.535,48.7,50.6,10.6,6.2,.505,15.9,29.1,.194
79,Eastern Illinois,31,9,22,.290,-13.83,-6.49,,5,13,,6,9,,3,12,,2134,2235,,70.7,101.5,.321,.426,.537,52.8,59.3,9.2,8.3,.507,18.0,31.3,.224
80,Eastern Kentucky,33,20,13,.606,-2.47,-2.11,,12,6,,14,2,,5,10,,2553,2380,,72.5,99.1,.260,.398,.520,48.3,54.7,9.2,6.7,.487,17.2,29.6,.193
81,Eastern Michigan,31,8,23,.258,-10.69,-1.53,,5,13,,6,7,,2,13,,2239,2505,,70.3,114.0,.350,.415,.582,54.1,46.8,8.9,7.1,.555,15.1,32.5,.246
82,Eastern Washington,32,22,10,.688,1.32,-2.11,,16,2,,11,2,,9,6,,2466,2284,,68.9,103.6,.293,.438,.530,46.2,49.1,9.2,5.8,.494,14.1,25.7,.221
83,Elon,32,8,24,.250,-12.78,-4.31,,6,12,,5,9,,3,12,,2094,2291,,67.0,106.9,.279,.451,.541,51.6,57.2,9.2,9.0,.514,14.8,29.8,.198
84,Evansville,32,5,27,.156,-14.70,-1.11,,1,19,,3,10,,1,14,,1997,2432,,69.8,108.9,.301,.412,.588,54.9,57.9,8.3,7.0,.557,16.9,25.5,.229
85,Fairfield,31,13,18,.419,-6.89,-4.43,,9,11,,7,6,,4,10,,2012,2045,,64.9,100.3,.276,.316,.517,50.4,43.7,9.0,9.6,.486,15.5,29.3,.198
86,Fairleigh Dickinson,34,19,15,.559,-11.40,-11.72,,10,6,,10,5,,8,9,,2646,2547,,69.9,106.0,.343,.398,.584,49.5,56.0,8.1,9.9,.551,19.6,28.5,.255
87,Florida,32,16,16,.500,11.85,8.56,,9,9,,10,5,,4,7,,2302,2197,,69.8,98.0,.298,.305,.494,52.6,45.1,9.1,8.5,.459,15.1,30.5,.210
88,Florida A&M,29,7,22,.241,-17.41,-4.60,,5,13,,4,7,,3,15,,1700,2030,,66.5,104.9,.439,.344,.534,52.2,50.2,12.3,10.8,.499,16.0,33.5,.293
89,Florida Atlantic,32,29,3,.906,13.39,0.52,,18,2,,17,0,,11,3,,2533,2088,,69.1,93.7,.270,.342,.498,45.9,33.7,8.3,7.1,.462,16.6,24.0,.200
90,Florida Gulf Coast,32,17,15,.531,-2.57,-3.02,,7,11,,8,5,,6,9,,2280,2222,,66.7,103.4,.279,.413,.531,50.4,50.9,8.5,9.1,.504,15.3,28.4,.194
91,Florida International,32,14,18,.438,-3.05,-0.02,,8,12,,11,7,,3,10,,2339,2404,,71.0,104.2,.304,.401,.551,54.7,53.3,11.4,9.1,.518,19.5,36.1,.225
92,Florida State,32,9,23,.281,-0.32,6.56,,7,13,,5,11,,4,7,,2219,2439,,69.0,110.5,.309,.411,.565,52.9,55.4,7.5,7.5,.531,14.9,31.5,.234
93,Fordham,32,25,7,.781,2.41,-1.98,,12,6,,18,2,,6,5,,2308,2153,,70.3,94.9,.373,.302,.510,47.9,48.1,9.1,8.9,.464,17.2,25.1,.273
94,Fresno State,31,11,20,.355,3.24,5.74,,6,12,,7,7,,4,9,,1974,2036,,64.0,102.6,.319,.375,.550,51.9,52.6,8.8,9.7,.513,17.8,27.8,.241
95,Furman,34,27,7,.794,5.11,-3.89,,15,3,,14,2,,8,3,,2791,2421,,69.7,101.1,.300,.354,.535,48.2,43.8,8.1,8.2,.505,16.6,26.8,.211
96,Gardner-Webb,31,15,16,.484,-3.81,-4.61,,10,8,,8,5,,6,10,,2192,2032,,67.5,95.6,.399,.377,.521,47.3,48.4,9.3,7.5,.477,18.3,24.3,.286
97,George Mason,33,20,13,.606,1.94,0.49,,11,7,,14,2,,4,7,,2268,2220,,67.6,98.8,.330,.351,.513,47.6,45.4,10.2,8.8,.479,14.9,24.8,.228
98,George Washington,32,16,16,.500,-1.73,-0.40,,10,8,,11,6,,5,6,,2441,2455,,69.7,108.1,.284,.392,.541,50.2,51.0,9.9,6.8,.515,13.5,29.7,.199
99,Georgetown,32,7,25,.219,-1.09,7.50,,2,18,,5,12,,1,11,,2225,2500,,69.6,111.3,.244,.395,.560,51.0,60.1,11.5,7.2,.536,13.7,30.0,.178
100,Georgia,32,16,16,.500,2.20,5.20,,6,12,,13,4,,1,10,,2193,2289,,68.2,104.5,.289,.367,.526,49.8,55.8,9.8,10.7,.498,14.5,30.5,.200
