,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
71,DePaul,33,10,23,.303,2.96,9.08,,3,17,,7,8,,2,12,,2349,2551,,69.8,100.4,.276,.378,.530,45.7,54.5,9.0,12.0,.497,16.1,25.8,.204
72,Detroit Mercy,33,14,19,.424,-3.01,-3.41,,9,11,,9,5,,5,13,,2527,2486,,67.8,112.1,.281,.432,.551,52.5,47.1,9.0,5.5,.516,14.5,35.9,.216
73,Drake,34,27,7,.794,8.34,-1.12,,15,5,,14,1,,6,6,,2561,2173,,67.0,110.1,.283,.368,.571,52.4,49.8,7.9,7.4,.539,13.7,24.8,.218
74,Drexel,32,17,15,.531,-2.27,-5.43,,10,8,,12,3,,3,9,,2135,1997,,64.0,102.2,.294,.404,.522,51.6,48.4,8.6,8.0,.495,15.4,30.2,.201
75,Duke,33,25,8,.758,15.61,7.03,,14,6,,16,0,,4,6,,2407,2125,,65.8,110.4,.304,.355,.549,55.9,56.9,8.4,12.2,.512,15.4,36.7,.234
76,Duquesne,32,20,12,.625,4.08,0.14,,10,8,,16,4,,3,7,,2394,2268,,69.4,107.8,.266,.397,.534,49.6,56.4,11.9,10.3,.510,14.5,33.4,.183
77,East Carolina,32,16,16,.500,0.06,1.76,,6,12,,10,6,,2,9,,2225,2267,,68.5,101.5,.371,.417,.513,51.5,56.0,9.4,7.1,.475,16.2,33.5,.256
78,East Tennessee State,32,12,20,.375,-5.87,-4.31,,8,10,,7,9,,4,9,,2211,2208,,66.7,103.2,.301,.349,.533,51.3,47.5,9.1,9.4,.509,16.8,31.5,.202
79,Eastern Illinois,31,9,22,.290,-13.83,-6.49,,5,13,,6,9,,3,12,,2134,2235,,70.7,97.0,.329,.274,.513,47.2,56.3,11.8,10.1,.488,16.8,25.8,.210
80,Eastern Kentucky,33,20,13,.606,-2.47,-2.11,,12,6,,14,2,,5,10,,2553,2380,,72.5,106.3,.244,.381,.519,51.7,52.4,11.1,13.0,.499,14.0,34.1,.161
81,Eastern Michigan,31,8,23,.258,-10.69,-1.53,,5,13,,6,7,,2,13,,2239,2505,,70.3,101.9,.315,.333,.533,45.9,37.2,8.8,6.2,.492,14.9,25.0,.241
82,Eastern Washington,32,22,10,.688,1.32,-2.11,,16,2,,11,2,,9,6,,2466,2284,,68.9,111.9,.315,.439,.601,53.8,56.3,7.2,9.2,.572,17.5,29.3,.238
83,Elon,32,8,24,.250,-12.78,-4.31,,6,12,,5,9,,3,12,,2094,2291,,67.0,97.7,.277,.403,.517,48.4,51.0,9.1,6.7,.486,16.3,25.7,.197
84,Evansville,32,5,27,.156,-14.70,-1.11,,1,19,,3,10,,1,14,,1997,2432,,69.8,89.4,.294,.336,.476,45.1,45.0,10.0,5.8,.451,15.8,20.7,.185
85,Fairfield,31,13,18,.419,-6.89,-4.43,,9,11,,7,6,,4,10,,2012,2045,,64.9,98.7,.373,.369,.508,49.6,42.9,8.3,9.5,.463,15.6,28.8,.270
86,Fairleigh Dickinson,34,19,15,.559,-11.40,-11.72,,10,6,,10,5,,8,9,,2646,2547,,69.9,110.1,.270,.373,.550,50.5,52.4,11.4,5.8,.520,14.0,32.3,.201
87,Florida,32,16,16,.500,11.85,8.56,,9,9,,10,5,,4,7,,2302,2197,,69.8,102.7,.351,.367,.535,47.4,49.1,9.6,12.5,.498,14.1,23.5,.251
88,Florida A&M,29,7,22,.241,-17.41,-4.60,,5,13,,4,7,,3,15,,1700,2030,,66.5,87.8,.323,.347,.480,47.8,47.1,9.9,10.2,.442,20.8,29.3,.223
89,Florida Atlantic,32,29,3,.906,13.39,0.52,,18,2,,17,0,,11,3,,2533,2088,,69.1,113.7,.287,.444,.578,54.1,52.5,9.8,6.5,.555,14.7,30.8,.204
90,Florida Gulf Coast,32,17,15,.531,-2.57,-3.02,,7,11,,8,5,,6,9,,2280,2222,,66.7,106.1,.275,.451,.547,49.6,50.8,10.2,9.6,.517,14.9,27.2,.203
91,Florida International,32,14,18,.438,-3.05,-0.02,,8,12,,11,7,,3,10,,2339,2404,,71.0,101.4,.291,.361,.552,45.3,45.8,12.6,11.2,.525,18.3,25.5,.207
92,Florida State,32,9,23,.281,-0.32,6.56,,7,13,,5,11,,4,7,,2219,2439,,69.0,100.5,.304,.344,.527,47.1,53.6,8.9,11.3,.493,15.6,25.9,.221
93,Fordham,32,25,7,.781,2.41,-1.98,,12,6,,18,2,,6,5,,2308,2153,,70.3,101.8,.381,.414,.530,52.1,52.5,10.3,12.8,.484,16.7,29.8,.282
94,Fresno State,31,11,20,.355,3.24,5.74,,6,12,,7,7,,4,9,,1974,2036,,64.0,99.5,.251,.407,.527,48.1,53.1,9.9,10.3,.493,16.1,24.9,.194
95,Furman,34,27,7,.794,5.11,-3.89,,15,3,,14,2,,8,3,,2791,2421,,69.7,116.5,.341,.462,.594,51.8,59.4,9.6,8.5,.564,13.9,29.5,.253
96,Gardner-Webb,31,15,16,.484,-3.81,-4.61,,10,8,,8,5,,6,10,,2192,2032,,67.5,103.2,.340,.335,.542,52.7,49.1,10.4,14.3,.523,16.6,29.7,.213
97,George Mason,33,20,13,.606,1.94,0.49,,11,7,,14,2,,4,7,,2268,2220,,67.6,100.9,.370,.386,.544,52.4,56.5,6.8,8.5,.519,17.8,27.9,.241
98,George Washington,32,16,16,.500,-1.73,-0.40,,10,8,,11,6,,5,6,,2441,2455,,69.7,107.4,.348,.384,.566,49.8,46.7,8.0,9.0,.532,15.8,26.9,.257
99,Georgetown,32,7,25,.219,-1.09,7.50,,2,18,,5,12,,1,11,,2225,2500,,69.6,99.1,.291,.310,.505,49.0,46.5,8.8,12.1,.471,15.1,28.9,.209
100,Georgia,32,16,16,.500,2.20,5.20,,6,12,,13,4,,1,10,,2193,2289,,68.2,100.1,.405,.382,.518,50.2,49.2,9.2,7.0,.471,16.7,30.6,.294
101,Georgia Southern,33,17,16,.515,-3.04,-1.81,,9,9,,12,4,,3,11,,2257,2201,,67.6,100.8,.280,.342,.517,50.2,40.8,10.4,8.2,.490,14.8,27.7,.192
102,Georgia State,31,10,21,.323,-6.58,-0.72,,3,15,,10,9,,0,11,,2068,2150,,67.8,98.0,.325,.311,.501,51.2,45.9,8.5,9.8,.462,16.2,31.9,.231
103,Georgia Tech,33,15,18,.455,2.15,4.96,,6,14,,11,6,,3,9,,2301,2335,,67.6,102.8,.236,.383,.512,48.8,54.2,8.8,10.6,.488,13.5,28.9,.164
104,Gonzaga,33,28,5,.848,20.16,7.54,,14,2,,15,1,,7,2,,2888,2406,,71.8,121.4,.337,.325,.612,53.8,50.8,10.6,9.2,.592,12.9,31.3,.236
105,Grambling,32,24,8,.750,-3.63,-8.09,,15,3,,11,1,,9,6,,2218,1993,,67.8,101.9,.416,.273,.536,51.7,50.5,10.9,12.1,.508,18.2,32.9,.267
106,Grand Canyon,35,24,11,.686,4.64,1.02,,10,7,,14,4,,5,5,,2636,2339,,66.9,111.8,.366,.419,.575,52.4,48.7,7.3,8.4,.544,15.6,31.2,.262
107,Green Bay,32,3,29,.094,-20.09,-2.93,,2,18,,2,10,,1,17,,1898,2447,,66.2,89.2,.315,.435,.496,43.6,53.4,7.6,6.3,.459,18.9,21.7,.221
108,Hampton,32,8,24,.250,-15.10,-4.55,,5,13,,7,6,,1,13,,2183,2481,,69.9,97.2,.329,.367,.488,46.9,46.4,6.1,8.5,.451,13.7,26.8,.226
109,Hartford,28,5,23,.179,-23.34,-8.18,,,,,5,10,,0,11,,1757,1991,,66.3,94.7,.235,.402,.512,47.7,55.2,9.6,10.6,.494,19.0,27.1,.151
110,Harvard,28,14,14,.500,-0.82,-2.13,,5,9,,5,7,,8,6,,1914,1858,,67.8,99.9,.309,.374,.524,52.9,52.9,11.0,10.8,.497,17.3,31.0,.207
111,Hawaii,33,22,11,.667,2.83,-1.70,,13,7,,13,5,,6,4,,2208,2039,,64.9,101.9,.330,.371,.530,52.3,47.5,7.0,9.0,.490,16.2,29.5,.247
112,High Point,31,14,17,.452,-9.84,-5.19,,6,12,,10,5,,2,11,,2312,2392,,72.7,102.7,.394,.393,.531,50.1,47.1,9.0,12.7,.507,16.7,31.4,.246
113,Hofstra,33,24,9,.727,4.89,-3.20,,16,2,,11,1,,10,5,,2466,2159,,67.7,109.6,.208,.398,.574,48.2,50.2,9.2,11.2,.554,14.0,23.3,.153
114,Holy Cross,32,10,22,.313,-14.28,-6.41,,7,11,,6,9,,4,11,,2136,2324,,69.1,96.2,.253,.322,.512,45.7,49.0,9.1,7.1,.495,15.7,22.3,.157
115,Houston,31,29,2,.935,23.84,4.44,,17,1,,16,2,,11,0,,2357,1752,,64.5,117.8,.276,.379,.563,55.4,53.4,13.1,16.8,.538,12.8,37.8,.199
116,Houston Christian,32,10,22,.313,-16.83,-6.59,,7,11,,8,8,,2,13,,2482,2658,,73.4,105.3,.385,.390,.563,49.5,55.7,7.8,6.7,.528,18.2,29.5,.276
117,Howard,32,20,12,.625,-4.76,-5.76,,11,3,,12,2,,6,8,,2427,2327,,71.9,105.1,.329,.365,.562,51.6,55.4,10.4,8.3,.531,19.4,33.8,.237
118,Idaho,32,10,22,.313,-8.36,-3.53,,4,14,,6,10,,4,11,,2335,2332,,67.1,107.5,.353,.365,.572,47.9,46.2,7.6,4.7,.534,15.1,22.0,.269
119,Idaho State,32,11,21,.344,-6.23,-2.63,,8,10,,7,7,,4,12,,2213,2272,,65.7,102.8,.290,.406,.545,48.2,49.4,8.6,7.7,.513,15.4,24.5,.213
120,Illinois,32,20,12,.625,15.36,7.67,,11,9,,15,2,,3,7,,2389,2143,,69.3,106.5,.338,.419,.543,53.1,46.7,9.8,14.0,.516,15.7,32.3,.230
121,Illinois State,32,11,21,.344,-6.92,-2.92,,6,14,,8,7,,3,9,,2127,2255,,65.7,99.6,.313,.406,.545,51.3,46.8,8.6,9.5,.502,19.3,28.2,.248
122,Illinois-Chicago,32,12,20,.375,-8.44,-2.73,,4,16,,7,8,,3,11,,2149,2292,,69.2,96.2,.341,.431,.516,45.9,56.4,9.2,12.4,.487,16.4,23.1,.223
123,Incarnate Word,31,12,19,.387,-14.83,-8.00,,6,13,,7,7,,3,13,,2194,2290,,69.0,100.9,.342,.317,.537,47.3,49.2,11.9,7.6,.497,17.2,27.0,.255
124,Indiana,32,22,10,.688,15.65,9.07,,12,8,,15,2,,5,7,,2403,2182,,68.4,109.3,.305,.265,.566,51.8,53.9,8.3,13.8,.540,15.1,28.3,.217
125,Indiana State,34,22,12,.647,5.77,-3.53,,13,7,,11,4,,7,6,,2700,2356,,71.2,111.1,.313,.461,.596,51.6,56.9,9.2,5.0,.564,15.0,22.2,.241
126,Iona,34,27,7,.794,7.95,-3.43,,17,3,,11,1,,8,4,,2597,2210,,68.9,110.5,.290,.321,.549,50.8,53.4,10.8,14.9,.518,13.2,32.0,.212
127,Iowa,32,19,13,.594,14.62,8.81,,11,9,,14,3,,4,7,,2567,2381,,69.6,113.9,.326,.374,.553,51.2,58.1,9.4,8.5,.519,12.0,32.2,.240
128,Iowa State,31,19,12,.613,16.53,10.84,,9,9,,13,3,,3,8,,2132,1937,,65.8,103.7,.279,.342,.533,52.6,55.4,13.3,11.2,.509,16.6,33.7,.188
129,IUPUI,32,5,27,.156,-18.70,-5.26,,2,18,,4,9,,0,15,,2089,2456,,67.7,96.0,.313,.286,.529,48.9,45.5,8.5,7.2,.500,20.4,29.3,.216
130,Jackson State,33,14,19,.424,-10.91,-4.94,,12,6,,7,2,,6,14,,2232,2429,,69.8,95.8,.330,.340,.505,51.1,50.8,10.6,7.2,.473,18.9,33.1,.222
131,Jacksonville,29,13,16,.448,-6.24,-2.58,,6,12,,7,6,,6,10,,1837,1816,,62.0,102.2,.232,.387,.545,51.8,54.8,8.2,8.5,.517,16.5,25.2,.174
