,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
30,Brigham Young,34,19,15,.559,9.91,5.88,,7,9,,12,4,,2,7,,2568,2376,,1365,913,2008,.455,276,812,.340,466,650,.717,374,1272,501,251,135,481,659
31,Brown,27,14,13,.519,-2.67,-2.89,,7,7,,7,5,,7,8,,1878,1872,,1086,682,1557,.438,216,622,.347,298,464,.642,241,942,372,194,87,361,438
32,Bryant,30,17,13,.567,-3.64,-4.57,,8,8,,9,4,,7,8,,2381,2193,,1205,848,1821,.466,243,714,.340,442,602,.734,318,1179,403,200,106,402,518
33,Bucknell,32,12,20,.375,-9.58,-7.14,,5,13,,7,7,,3,13,,2161,2192,,1290,797,1749,.456,235,660,.356,332,463,.717,260,1084,429,176,121,427,498
34,Buffalo,32,15,17,.469,-2.67,0.97,,9,9,,11,4,,3,9,,2481,2485,,1285,906,2000,.453,224,696,.322,445,632,.704,377,1208,470,254,102,452,602
35,Butler,32,14,18,.438,5.86,8.55,,6,14,,10,6,,3,10,,2088,2174,,1280,771,1767,.436,207,633,.327,339,459,.739,207,958,403,216,138,378,429
36,Cal Poly,33,8,25,.242,-7.01,-0.05,,1,18,,6,11,,1,13,,2006,2174,,1330,715,1733,.413,181,615,.294,395,531,.744,281,1080,341,181,82,457,653
37,Cal State Bakersfield,33,11,22,.333,-7.87,-1.00,,6,14,,6,8,,3,12,,1995,2134,,1340,732,1770,.414,142,437,.325,389,512,.760,311,1055,355,205,100,424,621
38,Cal State Fullerton,33,20,13,.606,2.23,0.23,,12,6,,11,2,,7,8,,2283,2148,,1360,779,1812,.430,253,686,.369,472,681,.693,303,1108,340,214,85,391,590
39,Cal State Northridge,32,7,25,.219,-9.91,-1.24,,4,16,,7,8,,0,14,,2028,2194,,1285,695,1735,.401,184,575,.320,454,612,.742,313,1066,314,201,99,400,605
40,California,32,3,29,.094,-2.87,8.91,,2,18,,3,14,,0,12,,1866,2243,,1290,662,1694,.391,156,524,.298,386,534,.723,278,1007,308,151,100,417,548
41,California Baptist,33,17,16,.515,0.48,-0.43,,7,10,,12,5,,4,8,,2291,2156,,1330,811,1898,.427,276,837,.330,393,592,.664,362,1227,471,146,103,379,569
42,Campbell,34,16,18,.471,-5.22,-4.88,,8,10,,8,6,,4,10,,2374,2329,,1385,830,1777,.467,228,683,.334,486,691,.703,267,1066,416,212,97,404,554
43,Canisius,30,10,20,.333,-6.93,-3.34,,8,12,,7,7,,3,12,,2111,2169,,1225,763,1809,.422,255,734,.347,328,448,.732,313,1008,431,168,79,357,469
44,Central Arkansas,31,9,22,.290,-13.63,-3.06,,4,14,,6,8,,2,13,,2261,2527,,1255,818,1987,.412,264,818,.323,361,482,.749,347,1128,384,202,98,413,508
45,Central Connecticut State,32,10,22,.313,-14.05,-9.86,,7,9,,6,7,,4,14,,2111,2245,,1295,791,1874,.422,219,669,.327,310,437,.709,324,1092,412,179,122,380,451
46,Central Florida,31,18,13,.581,11.24,4.99,,8,10,,11,6,,4,6,,2235,2030,,1275,773,1798,.430,275,762,.361,414,537,.771,357,1078,440,233,118,405,516
47,Central Michigan,31,10,21,.323,-11.59,-2.25,,5,13,,6,8,,3,12,,2038,2263,,1245,702,1688,.416,191,637,.300,443,642,.690,343,1096,333,181,118,494,614
48,Charleston Southern,31,10,21,.323,-9.40,-4.43,,5,13,,6,8,,3,12,,2251,2305,,1245,819,1850,.443,251,731,.343,362,498,.727,360,1091,373,157,81,365,562
49,Charlotte,32,18,14,.563,3.62,-0.35,,9,11,,11,4,,5,8,,2135,2008,,1305,788,1673,.471,256,680,.376,303,407,.744,213,957,413,171,82,346,447
50,Chattanooga,35,18,17,.514,-2.18,-3.18,,7,11,,9,7,,6,9,,2702,2523,,1405,924,2042,.452,398,1057,.377,456,639,.714,335,1268,536,200,121,407,552
51,Chicago State,31,11,20,.355,-10.93,-3.15,,,,,8,0,,3,20,,2180,2264,,1245,760,1757,.433,256,755,.339,404,555,.728,365,1090,379,175,83,422,561
52,Cincinnati,31,20,11,.645,11.99,5.09,,11,7,,15,3,,4,6,,2416,2161,,1250,891,1959,.455,281,780,.360,353,503,.702,339,1143,494,189,119,335,494
53,Clemson,33,23,10,.697,11.23,4.08,,14,6,,15,1,,5,6,,2476,2240,,1330,874,1862,.469,276,747,.369,452,572,.790,244,1156,472,170,102,369,576
54,Cleveland State,34,21,13,.618,-1.90,-4.93,,14,6,,13,3,,7,9,,2437,2314,,1380,928,2040,.455,174,562,.310,407,599,.679,428,1213,456,237,114,396,568
55,Coastal Carolina,31,11,20,.355,-8.71,-1.53,,5,13,,8,8,,3,11,,2273,2294,,1250,816,1880,.434,223,705,.316,418,533,.784,349,1153,383,188,99,379,497
56,Colgate,34,26,8,.765,2.28,-6.63,,17,1,,14,2,,11,4,,2672,2345,,1360,1017,1980,.514,283,694,.408,355,540,.657,270,1155,631,237,97,346,427
57,College of Charleston,34,31,3,.912,8.46,-4.51,,16,2,,17,1,,11,2,,2747,2290,,1370,941,2146,.438,343,1027,.334,522,704,.741,464,1377,469,250,107,408,572
58,Colorado,33,17,16,.515,12.06,8.79,,8,12,,12,4,,2,9,,2311,2203,,1320,844,1943,.434,215,675,.319,408,589,.693,371,1231,430,250,120,441,538
59,Colorado State,33,15,18,.455,6.23,6.44,,6,12,,9,7,,4,8,,2391,2355,,1335,873,1790,.488,251,689,.364,394,529,.745,197,1014,545,187,81,368,537
60,Columbia,29,7,22,.241,-14.65,-2.65,,2,12,,6,9,,1,13,,1966,2197,,1170,696,1728,.403,226,714,.317,348,487,.715,296,998,340,196,58,401,485
61,Connecticut,31,24,7,.774,20.88,7.45,,13,7,,15,2,,6,5,,2450,2017,,1240,860,1866,.461,282,780,.362,448,594,.754,416,1211,542,207,154,406,567
62,Coppin State,32,9,23,.281,-14.60,-3.44,,4,10,,4,6,,5,16,,2304,2661,,1300,779,1790,.435,268,793,.338,478,665,.719,206,973,361,246,81,477,629
63,Cornell,27,17,10,.630,0.39,-2.65,,7,7,,11,2,,6,8,,2227,2049,,1085,794,1672,.475,292,821,.356,347,477,.727,278,927,476,261,59,337,449
64,Creighton,33,21,12,.636,17.69,9.54,,14,6,,13,2,,5,6,,2529,2260,,1330,908,1943,.467,294,817,.360,419,546,.767,279,1227,525,173,138,384,434
65,Dartmouth,28,10,18,.357,-8.14,-2.68,,6,8,,7,5,,3,11,,1998,2027,,1135,719,1626,.442,228,685,.333,332,475,.699,236,976,360,153,113,404,476
66,Davidson,32,16,16,.500,2.21,1.69,,8,10,,7,8,,6,6,,2236,2197,,1295,785,1774,.443,216,664,.325,450,602,.748,265,1054,420,172,41,347,485
67,Dayton,32,21,11,.656,9.28,1.06,,12,6,,14,2,,5,6,,2200,1939,,1290,786,1680,.468,216,623,.347,412,596,.691,299,1163,488,157,139,394,436
68,Delaware,33,17,16,.515,-5.60,-3.75,,8,10,,10,5,,4,10,,2298,2333,,1330,816,1859,.439,218,680,.321,448,616,.727,286,1069,389,228,131,374,540
69,Delaware State,30,6,24,.200,-17.71,-4.96,,4,11,,4,8,,2,14,,1939,2265,,1210,714,1725,.414,171,542,.315,340,494,.688,336,1047,372,209,79,481,551
70,Denver,32,15,17,.469,-9.08,-5.42,,6,12,,9,5,,4,11,,2325,2402,,1300,835,1716,.487,144,442,.326,511,713,.717,290,1126,363,177,98,479,544
71,DePaul,33,10,23,.303,2.96,9.08,,3,17,,7,8,,2,12,,2349,2551,,1340,838,1961,.427,273,742,.368,400,541,.739,305,1070,457,211,156,427,604
72,Detroit Mercy,33,14,19,.424,-3.01,-3.41,,9,11,,9,5,,5,13,,2527,2486,,1330,876,2024,.433,338,875,.386,437,569,.768,433,1212,413,202,64,390,529
73,Drake,34,27,7,.794,8.34,-1.12,,15,5,,14,1,,6,6,,2561,2173,,1390,930,1977,.470,271,727,.373,430,559,.769,276,1215,463,183,89,356,503
74,Drexel,32,17,15,.531,-2.27,-5.43,,10,8,,12,3,,3,9,,2135,1997,,1305,773,1794,.431,229,725,.316,360,527,.683,330,1120,374,180,103,373,464
75,Duke,33,25,8,.758,15.61,7.03,,14,6,,16,0,,4,6,,2407,2125,,1325,865,1914,.452,229,680,.337,448,582,.770,408,1283,492,184,151,398,502
76,Duquesne,32,20,12,.625,4.08,0.14,,10,8,,16,4,,3,7,,2394,2268,,1282,871,1990,.438,288,790,.365,364,529,.688,397,1145,491,265,124,381,597
77,East Carolina,32,16,16,.500,0.06,1.76,,6,12,,10,6,,2,9,,2225,2267,,1280,753,1845,.408,246,769,.320,473,684,.692,396,1181,422,207,86,418,565
78,East Tennessee State,32,12,20,.375,-5.87,-4.31,,8,10,,7,9,,4,9,,2211,2208,,1285,821,1814,.453,203,633,.321,366,546,.670,343,1122,390,195,99,420,491
79,Eastern Illinois,31,9,22,.290,-13.83,-6.49,,5,13,,6,9,,3,12,,2134,2235,,1245,797,1800,.443,162,493,.329,378,593,.637,288,1052,449,260,105,419,559
80,Eastern Kentucky,33,20,13,.606,-2.47,-2.11,,12,6,,14,2,,5,10,,2553,2380,,1325,958,2202,.435,283,839,.337,354,538,.658,452,1329,502,267,160,401,530
81,Eastern Michigan,31,8,23,.258,-10.69,-1.53,,5,13,,6,7,,2,13,,2239,2505,,1250,803,1827,.440,192,608,.316,441,575,.767,270,974,299,194,67,367,587
82,Eastern Washington,32,22,10,.688,1.32,-2.11,,16,2,,11,2,,9,6,,2466,2284,,1280,880,1784,.493,282,783,.360,424,562,.754,286,1152,495,159,98,435,562
83,Elon,32,8,24,.250,-12.78,-4.31,,6,12,,5,9,,3,12,,2094,2291,,1280,762,1791,.425,218,722,.302,352,497,.708,281,1079,389,196,69,395,515
84,Evansville,32,5,27,.156,-14.70,-1.11,,1,19,,3,10,,1,14,,1997,2432,,1280,729,1839,.396,199,618,.322,340,540,.630,252,1004,328,224,62,392,520
85,Fairfield,31,13,18,.419,-6.89,-4.43,,9,11,,7,6,,4,10,,2012,2045,,1255,690,1681,.410,178,621,.287,454,627,.724,305,1045,296,170,114,367,472
