,,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
100,Indiana State,MVC,,,22,12,79.4,69.3,10.12,,-3.53,,7.24,-1.47,5.77,91.25,81.97,9.29
101,Loyola Marymount,WCC,,,19,12,75.3,73.1,2.26,,4.88,,3.98,1.56,5.54,90.72,81.43,9.29
102,Syracuse,ACC,,,17,15,74.1,72.9,1.22,,4.18,,4.59,0.81,5.39,90.28,81.52,8.76
103,James Madison,Sun Belt,,,22,11,80.5,68.1,12.48,,-2.12,,5.96,-0.81,5.15,87.51,79.74,7.77
104,Furman,Southern,,,27,7,82.1,71.2,10.88,,-3.89,,7.25,-2.14,5.11,94.70,86.21,8.49
105,UC Irvine,Big West,,,23,11,75.3,66.7,8.56,,-0.61,,3.62,1.49,5.11,88.62,80.43,8.19
106,Temple,AAC,,,16,15,70.1,69.8,0.32,,5.59,,1.88,3.09,4.96,83.22,72.98,10.24
107,Hofstra,CAA,,,24,9,74.7,65.4,9.30,,-3.20,,2.79,2.11,4.89,88.87,80.09,8.77
108,Grand Canyon,WAC,,,24,11,75.3,66.8,8.49,,1.02,,2.38,2.26,4.64,91.78,84.21,7.57
109,Akron,MAC,,,22,10,74.7,66.6,8.13,,-1.22,,1.21,3.41,4.62,85.30,76.94,8.36
110,Southern Mississippi,Sun Belt,,,25,7,74.3,65.4,8.81,,-1.74,,2.17,2.09,4.26,87.04,79.78,7.27
111,Louisiana,Sun Belt,,,26,7,78.0,69.8,8.21,,-0.91,,5.39,-1.27,4.12,91.66,84.28,7.38
112,Duquesne,A-10,,,20,12,74.8,70.9,3.94,,0.14,,3.40,0.68,4.08,88.61,81.18,7.43
113,UC Santa Barbara,Big West,,,27,7,72.2,65.6,6.56,,-2.16,,0.69,3.22,3.91,91.69,84.83,6.86
114,Louisiana State,SEC,,,14,19,67.6,70.7,-3.12,,6.96,,0.18,3.66,3.84,87.20,81.01,6.20
115,South Alabama,Sun Belt,,,19,16,70.9,65.2,5.74,,-0.25,,-0.55,4.36,3.81,88.10,80.60,7.50
116,Southern Utah,WAC,,,22,12,82.5,74.3,8.18,,2.20,,9.26,-5.46,3.80,91.14,84.72,6.42
117,Charlotte,CUSA,,,18,14,66.7,62.8,3.97,,-0.35,,-4.45,8.06,3.62,88.49,81.31,7.18
118,Fresno State,MWC,,,11,20,63.7,65.7,-2.00,,5.74,,-4.01,7.25,3.24,84.36,78.81,5.55
119,DePaul,Big East,,,10,23,71.2,77.3,-6.12,,9.08,,4.57,-1.62,2.96,86.47,80.52,5.95
120,Hawaii,Big West,,,22,11,66.9,61.8,5.12,,-1.70,,-4.40,7.23,2.83,83.22,77.76,5.46
121,Wyoming,MWC,,,9,22,69.2,72.1,-2.90,,6.74,,0.86,1.78,2.64,88.52,83.95,4.57
122,Middle Tennessee,CUSA,,,19,13,70.3,67.8,2.50,,1.76,,0.11,2.52,2.63,81.77,76.19,5.58
123,Princeton,Ivy,,,19,8,76.0,68.6,7.41,,-3.33,,2.74,-0.11,2.63,82.44,78.00,4.45
124,Air Force,MWC,,,14,18,66.9,67.1,-0.13,,2.72,,-2.62,5.22,2.60,87.59,82.86,4.73
125,Fordham,A-10,,,25,7,72.1,67.3,4.84,,-1.98,,1.25,1.17,2.41,79.40,74.20,5.20
126,Montana State,Big Sky,,,25,9,74.2,66.6,7.59,,-1.69,,-1.85,4.25,2.40,85.00,80.23,4.77
127,Belmont,MVC,,,21,11,76.5,71.8,4.63,,-1.51,,5.20,-2.90,2.30,91.19,86.57,4.63
128,Colgate,Patriot,,,26,8,78.6,69.0,9.62,,-6.63,,5.07,-2.79,2.28,92.32,87.55,4.77
129,Cal State Fullerton,Big West,,,20,13,69.2,65.1,4.09,,0.23,,-1.59,3.82,2.23,84.95,80.58,4.37
130,Davidson,A-10,,,16,16,69.9,68.7,1.22,,1.69,,0.08,2.13,2.21,87.80,83.26,4.54
131,Georgia,SEC,,,16,16,68.5,71.5,-3.00,,5.20,,0.46,1.74,2.20,84.20,79.70,4.50
132,Portland,WCC,,,14,19,77.8,78.6,-0.85,,4.62,,6.50,-4.33,2.17,91.02,86.98,4.04
133,Georgia Tech,ACC,,,15,18,69.7,70.8,-1.03,,4.96,,-0.45,2.60,2.15,84.61,81.00,3.61
134,South Florida,AAC,,,14,18,72.0,72.0,0.00,,2.15,,1.72,0.43,2.15,84.87,79.94,4.93
135,Notre Dame,ACC,,,11,21,69.6,72.1,-2.50,,4.62,,0.63,1.48,2.12,90.14,85.92,4.22
136,George Mason,A-10,,,20,13,68.7,67.3,1.45,,0.49,,-2.34,4.28,1.94,82.93,78.64,4.29
137,Vermont,AEC,,,22,10,73.1,66.8,6.22,,-3.67,,-0.63,2.40,1.77,84.97,80.93,4.05
138,Youngstown State,Horizon,,,24,9,82.5,72.6,9.85,,-6.18,,6.71,-4.98,1.73,92.47,89.03,3.44
139,UNC Greensboro,Southern,,,20,12,72.1,64.5,7.56,,-2.85,,-3.57,5.29,1.72,82.30,78.53,3.77
140,Southern Illinois,MVC,,,23,10,65.7,61.4,4.30,,-1.64,,-6.53,8.18,1.64,82.59,78.66,3.93
141,Troy,Sun Belt,,,20,13,73.2,66.8,6.36,,-0.99,,0.10,1.54,1.64,83.87,80.58,3.29
142,Richmond,A-10,,,15,18,68.9,67.8,1.09,,0.51,,-2.06,3.66,1.60,84.82,80.90,3.92
143,Ohio,MAC,,,19,13,79.0,72.8,6.13,,-2.28,,4.07,-2.60,1.47,86.12,82.32,3.80
144,Eastern Washington,Big Sky,,,22,10,77.1,71.4,5.69,,-2.11,,3.91,-2.59,1.32,90.59,87.53,3.06
145,UC Riverside,Big West,,,22,12,72.4,69.2,3.26,,0.12,,1.34,-0.16,1.18,87.18,84.61,2.57
146,Seattle,WAC,,,20,12,72.0,69.0,2.94,,0.94,,-0.73,1.90,1.17,82.56,79.69,2.87
147,Boston College,ACC,,,16,17,66.6,70.2,-3.64,,4.76,,-1.80,2.93,1.13,83.22,80.42,2.81
148,Stephen F. Austin,WAC,,,19,13,75.8,69.9,5.91,,-0.47,,2.78,-1.84,0.95,85.63,82.72,2.91
149,Missouri State,MVC,,,17,15,65.6,63.2,2.41,,-0.52,,-5.37,6.21,0.84,84.82,82.55,2.27
150,Pennsylvania,Ivy,,,17,12,75.1,71.8,3.31,,-1.29,,2.84,-2.16,0.68,83.57,80.41,3.16
151,Samford,Southern,,,21,11,78.7,71.6,7.16,,-4.18,,3.50,-2.83,0.67,88.49,86.26,2.23
152,Massachusetts-Lowell,AEC,,,26,7,78.6,65.8,12.82,,-8.61,,2.21,-1.66,0.54,83.25,80.52,2.73
153,Oregon State,Pac-12,,,11,21,61.2,67.0,-5.78,,7.04,,-6.25,6.77,0.52,82.06,81.26,0.80
154,California Baptist,WAC,,,17,16,69.4,65.3,4.09,,-0.43,,-4.62,5.09,0.48,83.95,82.02,1.93
155,Pepperdine,WCC,,,9,22,78.0,81.3,-3.32,,5.24,,6.72,-6.31,0.41,86.51,84.51,2.00
156,Cornell,Ivy,,,17,10,82.5,75.9,6.59,,-2.65,,8.37,-7.99,0.39,86.82,84.36,2.46
157,Southern Methodist,AAC,,,10,22,70.3,75.6,-5.31,,5.66,,2.12,-1.77,0.34,82.18,79.91,2.28
158,Kennesaw State,A-Sun,,,26,8,75.3,68.9,6.35,,-2.62,,1.19,-0.90,0.29,83.82,82.31,1.51
